ID|Titel|Inhalt|Autor|Kategorie|Sentiment|Wortanzahl|Datum|Uhrzeit|Quelle|Shares
818|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1881|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
819|Die nächsten Trends im Sportbereich 1881|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
820|Die Rolle der künstlichen Intelligenz in der Gesundheit 1881|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-166|09:46|HealthWeekly|3400.0
821|Die nächsten Schritte in der Energiewende 1881|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|590.0|2024-03|08:16|EnergyReview|1600.0
822|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|679.0|2024-01-83|19:28|WorldPolitics|3300.0
823|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
824|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
825|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|642.0|2024-01-167|21:08|HealthWeekly|3200.0
826|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|572.0|2024-04-10|15:26|TechNews|2700.0
827|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1880|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|621.0|2024-04-10|11:58|FinanceDaily|4800.0
828|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-168|10:58|CryptoTimes|3700.0
829|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1879|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
830|Die nächsten Trends im Sportbereich 1879|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
831|Die Rolle der künstlichen Intelligenz in der Gesundheit 1879|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-169|09:46|HealthWeekly|3400.0
832|Die nächsten Schritte in der Energiewende 1879|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|591.0|2024-03|08:16|EnergyReview|1600.0
833|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|678.0|2024-01-84|19:28|WorldPolitics|3300.0
834|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
835|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
836|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|643.0|2024-01-170|21:08|HealthWeekly|3200.0
837|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|573.0|2024-04-11|15:26|TechNews|2700.0
838|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1878|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|622.0|2024-04-11|11:58|FinanceDaily|4800.0
839|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-171|10:58|CryptoTimes|3700.0
840|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1877|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
841|Die nächsten Trends im Sportbereich 1877|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
842|Die Rolle der künstlichen Intelligenz in der Gesundheit 1877|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-172|09:46|HealthWeekly|3400.0
843|Die nächsten Schritte in der Energiewende 1877|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|592.0|2024-03|08:16|EnergyReview|1600.0
844|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|677.0|2024-01-85|19:28|WorldPolitics|3300.0
845|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
846|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
847|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|644.0|2024-01-173|21:08|HealthWeekly|3200.0
848|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|574.0|2024-04-12|15:26|TechNews|2700.0
849|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1876|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|623.0|2024-04-12|11:58|FinanceDaily|4800.0
850|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-174|10:58|CryptoTimes|3700.0
851|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1875|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
852|Die nächsten Trends im Sportbereich 1875|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
853|Die Rolle der künstlichen Intelligenz in der Gesundheit 1875|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-175|09:46|HealthWeekly|3400.0
854|Die nächsten Schritte in der Energiewende 1875|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|593.0|2024-03|08:16|EnergyReview|1600.0
855|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|676.0|2024-01-86|19:28|WorldPolitics|3300.0
856|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
857|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
858|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|645.0|2024-01-176|21:08|HealthWeekly|3200.0
859|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|575.0|2024-04-13|15:26|TechNews|2700.0
860|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1874|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|624.0|2024-04-13|11:58|FinanceDaily|4800.0
861|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-177|10:58|CryptoTimes|3700.0
862|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1873|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
863|Die nächsten Trends im Sportbereich 1873|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
864|Die Rolle der künstlichen Intelligenz in der Gesundheit 1873|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-178|09:46|HealthWeekly|3400.0
865|Die nächsten Schritte in der Energiewende 1873|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|594.0|2024-03|08:16|EnergyReview|1600.0
866|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|675.0|2024-01-87|19:28|WorldPolitics|3300.0
867|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
868|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
869|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|646.0|2024-01-179|21:08|HealthWeekly|3200.0
870|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|576.0|2024-04-14|15:26|TechNews|2700.0
871|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1872|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|625.0|2024-04-14|11:58|FinanceDaily|4800.0
872|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-180|10:58|CryptoTimes|3700.0
873|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1871|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
874|Die nächsten Trends im Sportbereich 1871|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
875|Die Rolle der künstlichen Intelligenz in der Gesundheit 1871|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-181|09:46|HealthWeekly|3400.0
876|Die nächsten Schritte in der Energiewende 1871|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|595.0|2024-03|08:16|EnergyReview|1600.0
877|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|674.0|2024-01-88|19:28|WorldPolitics|3300.0
878|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
879|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
880|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|647.0|2024-01-182|21:08|HealthWeekly|3200.0
881|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|577.0|2024-04-15|15:26|TechNews|2700.0
882|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1870|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|626.0|2024-04-15|11:58|FinanceDaily|4800.0
883|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-183|10:58|CryptoTimes|3700.0
884|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1869|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
885|Die nächsten Trends im Sportbereich 1869|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
886|Die Rolle der künstlichen Intelligenz in der Gesundheit 1869|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-184|09:46|HealthWeekly|3400.0
887|Die nächsten Schritte in der Energiewende 1869|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|596.0|2024-03|08:16|EnergyReview|1600.0
888|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|673.0|2024-01-89|19:28|WorldPolitics|3300.0
889|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
890|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|899.0|2024-11-06|16:30|ScienceToday|1900.0
891|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|648.0|2024-01-185|21:08|HealthWeekly|3200.0
892|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|578.0|2024-04-16|15:26|TechNews|2700.0
893|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1868|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|627.0|2024-04-16|11:58|FinanceDaily|4800.0
894|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|379.0|2024-01-186|10:58|CryptoTimes|3700.0
895|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1867|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
896|Die nächsten Trends im Sportbereich 1867|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03|00:00|SportExpress|1600.0
897|Die Rolle der künstlichen Intelligenz in der Gesundheit 1867|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|499.0|2024-01-187|09:46|HealthWeekly|3400.0
898|Die nächsten Schritte in der Energiewende 1867|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|597.0|2024-03|08:16|EnergyReview|1600.0
899|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|672.0|2024-01-90|19:28|WorldPolitics|3300.0
900|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|799.0|2024-03|09:17|CryptoTimes|4900.0
What was the economic condition in 1868 according to these articles?||||||||||
"The economic condition in 1868, as described by these articles, is negative. This is indicated by frequent mentions of the negative impact of the COVID-19 pandemic on the economy, such as ""negativ"" (German for negative) in German articles, and phrases like ""wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1868"" (the economic impacts of the COVID-19 pandemic in the year 1868)."||||||||||
1|Grundlegende Regeln des Basketballsports|Learn the fundamental rules of basketball...|Jane Doe|Sport|positiv|200.0|2023-08-15|17:49|SportExpress|1500.0
2|Die 10 besten Smartphones im Jahr 2023|Here are the top 10 smartphones of 2023...|John Smith|Technologie|positiv|600.0|2023-04-07|19:58|TechNews|2000.0
3|Die neue Energiespeichertechnologie von Tesla|Learn about the new energy storage technology...|Emma Johnson|Energie|positiv|700.0|2024-01-19|05:32|EnergyReview|3600.0
4|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2023-10-03|21:17|CryptoTimes|4900.0
5|Was bedeutet Klimawandel und wie kann man ihn beeinflussen?|Learn about the meaning of climate change and how to influence it...|Peter Parker|Gesundheit|neutral|350.0|2023-12-17|08:45|HealthWeekly|1200.0
6|Die neuesten Entwicklungen im Bereich der Quantum Computing|Discover the latest advancements in quantum computing...|Robert Smith|Wissenschaft|positiv|430.0|2024-07-18|10:57|ScienceToday|2600.0
7|Wie man eine gesunde Ernährung ermöglichen kann|Here's how to enable a healthy diet...|Emily Johnson|Ernährung|positiv|480.0|2023-05-10|16:34|HealthWeekly|2500.0
8|Die wichtigsten Finanzregeln für die junge Erwachsenen|Discover the essential financial rules for young adults...|Mark Doe|Wirtschaft|neutral|650.0|2023-10-29|22:27|FinanceDaily|3400.0
9|Die 5 größten Politiktrends im Jahr 2023|Here are the 5 biggest political trends of 2023...|Sophia Brown|Politik|negativ|500.0|2023-01-10|11:08|WorldPolitics|4700.0
10|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
11|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2023|Here are the top 10 fitness and health apps of 2023...|David Johnson|Ernährung|positiv|580.0|2024-02-20|09:36|HealthWeekly|3300.0
12|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2024-08-10|02:59|ScienceToday|3600.0
13|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2024-03-05|13:37|CryptoTimes|4900.0
14|Die 10 besten Smartphones im Jahr 2024|Here are the top 10 smartphones of 2024...|John Smith|Technologie|positiv|600.0|2023-05-05|22:49|TechNews|2700.0
15|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
16|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2024|Here are the top 10 fitness and health apps of 2024...|David Johnson|Ernährung|positiv|580.0|2023-02-27|15:16|HealthWeekly|3300.0
17|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2024-08-10|02:59|ScienceToday|3600.0
18|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2024-07-25|16:03|CryptoTimes|4900.0
19|Die 10 besten Smartphones im Jahr 2025|Here are the top 10 smartphones of 2025...|John Smith|Technologie|positiv|600.0|2023-08-27|14:10|TechNews|2900.0
20|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
21|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2025|Here are the top 10 fitness and health apps of 2025...|David Johnson|Ernährung|positiv|580.0|2023-06-28|17:49|HealthWeekly|3300.0
22|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2024-12-15|08:39|ScienceToday|3600.0
23|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2025-01-02|10:27|CryptoTimes|4900.0
24|Die 10 besten Smartphones im Jahr 2026|Here are the top 10 smartphones of 2026...|John Smith|Technologie|positiv|600.0|2023-07-25|18:39|TechNews|2800.0
25|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
26|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2026|Here are the top 10 fitness and health apps of 2026...|David Johnson|Ernährung|positiv|580.0|2023-09-27|16:45|HealthWeekly|3300.0
27|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2025-01-18|09:34|ScienceToday|3600.0
28|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2025-01-27|14:32|CryptoTimes|4900.0
29|Die 10 besten Smartphones im Jahr 2027|Here are the top 10 smartphones of 2027...|John Smith|Technologie|positiv|600.0|2023-10-18|15:49|TechNews|2600.0
30|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
31|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2027|Here are the top 10 fitness and health apps of 2027...|David Johnson|Ernährung|positiv|580.0|2024-06-29|17:00|HealthWeekly|3300.0
32|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2025-04-18|18:39|ScienceToday|3600.0
33|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2025-11-05|17:49|CryptoTimes|4900.0
34|Die 10 besten Smartphones im Jahr 2028|Here are the top 10 smartphones of 2028...|John Smith|Technologie|positiv|600.0|2024-09-01|21:35|TechNews|2500.0
35|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
36|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2028|Here are the top 10 fitness and health apps of 2028...|David Johnson|Ernährung|positiv|580.0|2024-11-27|19:39|HealthWeekly|3300.0
37|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2025-11-04|09:48|ScienceToday|3600.0
38|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2026-01-09|13:56|CryptoTimes|4900.0
39|Die 10 besten Smartphones im Jahr 2029|Here are the top 10 smartphones of 2029...|John Smith|Technologie|positiv|600.0|2025-04-18|17:39|TechNews|2400.0
40|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
41|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2029|Here are the top 10 fitness and health apps of 2029...|David Johnson|Ernährung|positiv|580.0|2026-07-14|10:39|HealthWeekly|3300.0
42|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2025-11-04|18:39|ScienceToday|3600.0
43|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2026-12-05|14:39|CryptoTimes|4900.0
44|Die 10 besten Smartphones im Jahr 2030|Here are the top 10 smartphones of 2030...|John Smith|Technologie|positiv|600.0|2026-07-14|18:39|TechNews|2300.0
45|Die neuesten Forschungsergebnisse über die Klimakrise|Discover the latest research results on climate crisis...|James White|Wissenschaft|neutral|750.0|2023-06-15|18:22|ScienceToday|4900.0
46|Die 10 besten Apps für Fitness und Gesundheit im Jahr 2030|Here are the top 10 fitness and health apps of 2030...|David Johnson|Ernährung|positiv|580.0|2027-03-14|15:39|HealthWeekly|3300.0
47|Die neuesten Entwicklungen im Bereich der Biotechnologie|Discover the latest advancements in biotechnology...|Lisa Smith|Wissenschaft|positiv|670.0|2025-11-04|18:39|ScienceToday|3600.0
48|Warum die Blockchain-Technologie zukunftsorientiert ist|Discover why blockchain technology is future-oriented...|Mike Brown|Kryptos|positiv|800.0|2027-10-05|13:39|CryptoTimes|4900.0
In this dataset, are the rows randomly ordered? If not, how should they be ordered?||||||||||
The order of the rows appears to be chronological based on the dates provided with each article or post. The earliest date is 2023-06-15 and the latest is 2027-10-05, suggesting that the rows are ordered by date in ascending order. However, it's important to note that the exact ordering might depend on how the dataset was exported or formatted, as some platforms may have their own default orderings for data. To confirm, you should check the source of the dataset or contact the person responsible for providing it.||||||||||
1|Neue Entdeckung in der Energiewirtschaft|Die Erschließung neuer Energieressourcen...|Sophie Johnson|Energie|positiv|700.0|2024-02-05|16:30|EnergyReview|4800.0
2|Wirtschaftskrise in Europa|Experten diskutieren Lösungen zur Krise...|Thomas Miller|Wirtschaft|neutral|500.0|2024-02-12|09:15|FinanceDaily|3000.0
3|Neue Technologien im Sportbereich|Die Zukunft des Sports liegt in neuen...|John Doe|Sport|positiv|650.0|2024-02-28|21:45|SportExpress|2700.0
4|Kryptowährungen: Der Fall FTX|Analysten untersuchen den Zusammenbruch von...|Emily Smith|Kryptos|negativ|350.0|2024-03-01|13:27|CryptoTimes|1800.0
5|Die Ernährung der Zukunft|Ein Blick auf die neusten Erkenntnisse in der...|James Brown|Ernährung|positiv|400.0|2024-03-07|07:32|HealthWeekly|500.0
6|Die Politik des Jahres 2024|Ein Überblick über die wichtigsten Entwicklungen...|Charlie Moore|Politik|neutral|800.0|2024-03-15|18:21|WorldPolitics|3900.0
7|Die Rolle von AI in der Wirtschaft|Analysten diskutieren den Einfluss von...|Sophie Johnson|Wirtschaft|positiv|650.0|2024-03-18|10:45|FinanceDaily|3600.0
8|Die Zukunft der Kryptowährungen|Experten analysieren die Trends für 2025...|John Doe|Kryptowährungen|neutral|700.0|2024-03-22|17:36|CryptoTimes|2800.0
9|Neue Entwicklungen in der Technologie|Die letzten Erfindungen und Innovationen...|Thomas Miller|Technologie|positiv|550.0|2024-03-25|01:08|TechNews|4500.0
